Order ID,Product Name,Category,Price,Discount (%),Quantity Sold,Total Sales,Purchase Date,Customer ID,Location
ORD0001,Bedsheet,Home & Kitchen,15612.85,5,3,44496.62,2025-01-22,CUST3723,Shahjahanpur
ORD0002,Football,Sports & Fitness,27499.43,15,4,93498.06,2024-05-07,CUST8889,Mau
ORD0003,Mixer Grinder,Home & Kitchen,31677.56,25,4,95032.68,2025-02-16,CUST3285,Bhiwandi
ORD0004,Smartphone,Electronics,42266.0,0,5,211330.0,2024-12-31,CUST5220,Amravati
ORD0005,Jacket,Fashion,31941.02,25,5,119778.82,2024-11-25,CUST9638,Muzaffarnagar
ORD0006,Lipstick,Beauty & Health,39411.54,5,2,74881.93,2024-09-04,CUST8258,Howrah
ORD0007,Treadmill,Sports & Fitness,15167.61,0,4,60670.44,2024-12-08,CUST1485,Hubli–Dharwad
ORD0008,Mixer Grinder,Home & Kitchen,10358.39,0,3,31075.17,2024-08-11,CUST6932,Korba
ORD0009,Smartwatch,Electronics,9722.61,25,4,29167.83,2024-04-15,CUST8668,Begusarai
ORD0010,T-shirt,Fashion,32399.73,10,2,58319.51,2024-06-18,CUST4278,Shimla
ORD0011,Smartphone,Electronics,26275.67,15,5,111671.6,2024-03-15,CUST1755,Vijayawada
ORD0012,Table Lamp,Home & Kitchen,31822.59,15,3,81147.6,2025-01-19,CUST3523,Alappuzha
ORD0013,Smartphone,Electronics,40035.33,10,2,72063.59,2024-04-19,CUST6282,Guna
ORD0014,Sunglasses,Fashion,45799.84,5,2,87019.7,2024-11-09,CUST9969,Hajipur
ORD0015,Shampoo,Beauty & Health,17064.97,0,4,68259.88,2024-12-16,CUST2542,Bhimavaram
ORD0016,Cookware Set,Home & Kitchen,22334.55,30,2,31268.37,2024-12-07,CUST4331,Mangalore
ORD0017,Jacket,Fashion,44468.43,25,2,66702.65,2024-12-30,CUST2258,Etawah
ORD0018,Tablet,Electronics,43578.29,20,4,139450.53,2024-05-27,CUST2780,Gulbarga
ORD0019,Treadmill,Sports & Fitness,47559.87,5,4,180727.51,2025-02-17,CUST7357,Rewa
ORD0020,Football,Sports & Fitness,34320.44,30,1,24024.31,2025-02-05,CUST9596,Bhilwara
ORD0021,Jeans,Fashion,30448.65,5,2,57852.43,2024-06-24,CUST2287,Chandigarh
ORD0022,Headphones,Electronics,10477.99,30,5,36672.96,2024-07-21,CUST1433,Begusarai
ORD0023,Jeans,Fashion,13676.16,25,4,41028.48,2024-12-27,CUST2590,Chapra
ORD0024,Headphones,Electronics,1543.91,5,2,2933.43,2025-01-16,CUST2667,Kumbakonam
ORD0025,Dumbbells,Sports & Fitness,41321.38,5,5,196276.55,2024-10-20,CUST4828,Orai
ORD0026,Shampoo,Beauty & Health,34185.93,0,3,102557.79,2024-09-26,CUST8619,Serampore
ORD0027,Hair Oil,Beauty & Health,22784.62,30,2,31898.47,2024-10-29,CUST5596,Imphal
ORD0028,Smartphone,Electronics,6780.49,20,3,16273.18,2024-07-30,CUST9263,Ulhasnagar
ORD0029,Dumbbells,Sports & Fitness,31414.28,0,2,62828.56,2024-03-26,CUST8163,Panipat
ORD0030,Bedsheet,Home & Kitchen,40960.09,15,5,174080.38,2024-07-23,CUST4417,Vadodara
ORD0031,Hair Oil,Beauty & Health,36165.18,5,1,34356.92,2024-04-17,CUST3235,Guntakal
ORD0032,Jeans,Fashion,45838.75,30,2,64174.25,2024-06-13,CUST9027,Faridabad
ORD0033,Jeans,Fashion,16849.04,5,5,80032.94,2025-02-27,CUST2082,Bhopal
ORD0034,Smartwatch,Electronics,35184.98,25,4,105554.94,2025-03-02,CUST2336,Hindupur
ORD0035,Perfume,Beauty & Health,9221.01,5,3,26279.88,2024-05-13,CUST3841,Chittoor
ORD0036,Football,Sports & Fitness,20310.74,5,1,19295.2,2024-12-29,CUST7517,Gwalior
ORD0037,Table Lamp,Home & Kitchen,18619.28,5,1,17688.32,2024-12-11,CUST8207,Karnal
ORD0038,Dumbbells,Sports & Fitness,40073.58,5,3,114209.7,2024-12-28,CUST6239,Ratlam
ORD0039,Cookware Set,Home & Kitchen,27795.52,20,1,22236.42,2024-04-14,CUST9360,Bongaigaon
ORD0040,Laptop,Electronics,25233.39,20,5,100933.56,2024-07-18,CUST3537,Faridabad
ORD0041,Cricket Bat,Sports & Fitness,25520.32,20,4,81665.02,2024-03-31,CUST3520,Hubli–Dharwad
ORD0042,Cushion Cover,Home & Kitchen,20974.74,20,3,50339.38,2024-03-29,CUST8489,Narasaraopet
ORD0043,Sunglasses,Fashion,31014.06,25,3,69781.64,2024-10-07,CUST1331,Kamarhati
ORD0044,Jeans,Fashion,38234.1,25,2,57351.15,2024-07-05,CUST8609,Shimla
ORD0045,Shampoo,Beauty & Health,45934.35,15,4,156176.79,2024-11-26,CUST5362,Mangalore
ORD0046,Face Cream,Beauty & Health,17235.14,5,2,32746.77,2024-04-19,CUST4105,Meerut
ORD0047,Lipstick,Beauty & Health,39001.82,20,4,124805.82,2024-03-18,CUST6453,Surendranagar Dudhrej
ORD0048,Football,Sports & Fitness,27011.35,30,3,56723.83,2024-08-06,CUST7312,Rampur
ORD0049,Hair Oil,Beauty & Health,19960.64,25,5,74852.4,2025-01-03,CUST4483,Muzaffarpur
ORD0050,Jeans,Fashion,35319.26,5,2,67106.59,2025-03-01,CUST8082,Jodhpur
ORD0051,Bedsheet,Home & Kitchen,38956.28,15,3,99338.51,2024-05-18,CUST2477,Agra
ORD0052,Smartphone,Electronics,4705.62,15,5,19998.88,2024-07-30,CUST4812,Agra
ORD0053,Treadmill,Sports & Fitness,724.82,30,1,507.37,2024-10-15,CUST7639,Machilipatnam
ORD0054,Smartphone,Electronics,37939.35,30,4,106230.18,2024-08-21,CUST7116,Jabalpur
ORD0055,Cricket Bat,Sports & Fitness,41652.43,15,3,106213.7,2024-04-05,CUST9936,Salem
ORD0056,Lipstick,Beauty & Health,9371.16,25,2,14056.74,2025-01-09,CUST4992,Ghaziabad
ORD0057,Cookware Set,Home & Kitchen,1673.97,20,1,1339.18,2025-01-14,CUST5495,Hajipur
ORD0058,Mixer Grinder,Home & Kitchen,41183.13,0,4,164732.52,2024-03-18,CUST6815,Nadiad
ORD0059,T-shirt,Fashion,8744.84,10,5,39351.78,2024-05-05,CUST6666,Mathura
ORD0060,Sunglasses,Fashion,18925.47,5,2,35958.39,2024-05-26,CUST4871,Sri Ganganagar
ORD0061,Jacket,Fashion,21015.95,10,5,94571.77,2025-02-18,CUST3945,Ambala
ORD0062,Dumbbells,Sports & Fitness,30474.62,5,4,115803.56,2024-08-01,CUST5852,Nagaon
ORD0063,Headphones,Electronics,7793.3,25,5,29224.88,2024-08-26,CUST6138,Sasaram
ORD0064,T-shirt,Fashion,19271.32,5,1,18307.75,2024-12-07,CUST3332,Vellore
ORD0065,Bedsheet,Home & Kitchen,25433.77,5,3,72486.24,2024-10-22,CUST8344,Bhagalpur
ORD0066,Jacket,Fashion,29942.98,20,2,47908.77,2024-08-25,CUST5745,Adoni
ORD0067,T-shirt,Fashion,535.85,5,3,1527.17,2024-11-16,CUST3467,Salem
ORD0068,Cricket Bat,Sports & Fitness,48519.15,25,1,36389.36,2024-09-10,CUST3058,Jodhpur
ORD0069,Treadmill,Sports & Fitness,20419.22,20,3,49006.13,2024-08-19,CUST7009,Mahbubnagar
ORD0070,Shoes,Fashion,17506.18,30,4,49017.3,2024-09-26,CUST9346,Nadiad
ORD0071,Sunglasses,Fashion,46514.25,30,4,130239.9,2024-04-03,CUST9925,Kota
ORD0072,Smartphone,Electronics,17151.48,25,4,51454.44,2024-08-09,CUST2725,Uluberia
ORD0073,Perfume,Beauty & Health,30134.06,30,4,84375.37,2024-11-09,CUST2536,Khammam
ORD0074,Perfume,Beauty & Health,46991.18,30,2,65787.65,2024-07-11,CUST1253,Agartala
ORD0075,Laptop,Electronics,23452.44,5,5,111399.09,2024-11-05,CUST5739,Kadapa
ORD0076,Tablet,Electronics,5961.57,15,4,20269.34,2024-09-04,CUST9643,Kulti
ORD0077,Face Cream,Beauty & Health,39934.52,15,3,101833.03,2024-06-11,CUST7557,Mango
ORD0078,Yoga Mat,Sports & Fitness,12928.86,20,4,41372.35,2025-01-16,CUST8721,Rohtak
ORD0079,Shampoo,Beauty & Health,45469.43,10,1,40922.49,2024-09-18,CUST6477,Thoothukudi
ORD0080,Table Lamp,Home & Kitchen,17153.79,0,3,51461.37,2025-02-06,CUST8240,Etawah
ORD0081,Mixer Grinder,Home & Kitchen,42102.19,0,1,42102.19,2024-11-19,CUST4320,Khora 
ORD0082,Tablet,Electronics,10820.05,15,1,9197.04,2024-12-08,CUST4232,Aurangabad
ORD0083,Lipstick,Beauty & Health,35928.28,0,2,71856.56,2024-04-10,CUST6269,Kamarhati
ORD0084,Treadmill,Sports & Fitness,24550.5,20,3,58921.2,2024-05-07,CUST2666,Davanagere
ORD0085,Headphones,Electronics,44743.48,5,3,127518.92,2024-08-28,CUST3824,Bidhannagar
ORD0086,T-shirt,Fashion,23237.05,15,2,39502.99,2024-12-23,CUST2327,Nandyal
ORD0087,Perfume,Beauty & Health,40298.34,10,3,108805.52,2025-03-04,CUST7814,Ramagundam
ORD0088,Headphones,Electronics,41229.24,15,5,175224.27,2024-10-19,CUST5085,Raiganj
ORD0089,Shoes,Fashion,3322.31,20,3,7973.54,2024-12-15,CUST8781,Kolkata
ORD0090,Shoes,Fashion,38665.64,30,4,108263.79,2024-05-24,CUST5996,Nellore
ORD0091,Shoes,Fashion,14927.42,5,1,14181.05,2024-06-07,CUST1807,Kolkata
ORD0092,Smartwatch,Electronics,2489.83,5,1,2365.34,2024-03-31,CUST5651,Secunderabad
ORD0093,Bedsheet,Home & Kitchen,45181.55,5,1,42922.47,2024-12-29,CUST1532,Pondicherry
ORD0094,Laptop,Electronics,33801.11,25,3,76052.5,2024-12-10,CUST3218,Secunderabad
ORD0095,Mixer Grinder,Home & Kitchen,18575.45,25,1,13931.59,2024-08-23,CUST8771,Kakinada
ORD0096,Yoga Mat,Sports & Fitness,5100.48,15,3,13006.22,2024-12-25,CUST6033,Narasaraopet
ORD0097,Laptop,Electronics,10718.41,25,3,24116.42,2024-08-23,CUST5048,Salem
ORD0098,Mixer Grinder,Home & Kitchen,26227.86,30,2,36719.0,2024-03-30,CUST7507,South Dumdum
ORD0099,Lipstick,Beauty & Health,44946.35,15,1,38204.4,2024-04-18,CUST3124,Tiruchirappalli
ORD0100,Laptop,Electronics,39766.74,30,5,139183.59,2025-01-11,CUST5956,Khandwa
ORD0101,Yoga Mat,Sports & Fitness,43672.86,25,5,163773.23,2024-12-07,CUST6628,Durg
ORD0102,Hair Oil,Beauty & Health,9292.13,15,1,7898.31,2024-06-25,CUST6746,Raiganj
ORD0103,Smartwatch,Electronics,13464.62,0,5,67323.1,2024-06-28,CUST5642,Kavali
ORD0104,Treadmill,Sports & Fitness,43145.91,20,5,172583.64,2024-04-21,CUST5590,Panchkula
ORD0105,Lipstick,Beauty & Health,38377.79,5,2,72917.8,2025-02-18,CUST6213,Bhilwara
ORD0106,Mixer Grinder,Home & Kitchen,16507.73,30,1,11555.41,2024-03-22,CUST7611,Aurangabad
ORD0107,Treadmill,Sports & Fitness,9952.94,20,5,39811.76,2024-06-26,CUST7869,Tirupati
ORD0108,Cricket Bat,Sports & Fitness,44200.2,10,5,198900.9,2024-06-09,CUST9158,Bijapur
ORD0109,Laptop,Electronics,2546.69,5,4,9677.42,2024-10-08,CUST9849,Muzaffarnagar
ORD0110,Treadmill,Sports & Fitness,49306.69,30,1,34514.68,2024-04-27,CUST7314,Guntur
ORD0111,Football,Sports & Fitness,49816.38,0,3,149449.14,2024-04-30,CUST9804,Phagwara
ORD0112,Shampoo,Beauty & Health,17294.46,25,2,25941.69,2024-03-13,CUST9583,Raebareli
ORD0113,Jeans,Fashion,24272.41,5,1,23058.79,2024-12-26,CUST9365,Jalna
ORD0114,Football,Sports & Fitness,13707.6,30,4,38381.28,2024-04-16,CUST8666,Anantapur
ORD0115,Cushion Cover,Home & Kitchen,3077.23,30,2,4308.12,2024-06-30,CUST9333,Kottayam
ORD0116,Yoga Mat,Sports & Fitness,22114.14,15,1,18797.02,2024-07-15,CUST8153,Morena
ORD0117,Jacket,Fashion,40549.67,10,1,36494.7,2024-07-30,CUST6358,Bhusawal
ORD0118,Smartphone,Electronics,21996.73,15,3,56091.66,2024-05-23,CUST7368,Jalgaon
ORD0119,Lipstick,Beauty & Health,22409.79,30,2,31373.71,2024-04-10,CUST2011,Etawah
ORD0120,Jeans,Fashion,38913.21,5,3,110902.65,2024-12-26,CUST7066,Shimla
ORD0121,Football,Sports & Fitness,34536.1,10,3,93247.47,2025-01-27,CUST6546,Narasaraopet
ORD0122,Headphones,Electronics,1834.54,20,2,2935.26,2024-07-02,CUST7721,Haridwar
ORD0123,Sunglasses,Fashion,9786.92,0,1,9786.92,2024-08-23,CUST3492,Saharanpur
ORD0124,Perfume,Beauty & Health,29178.27,20,1,23342.62,2024-05-12,CUST2936,Tadipatri
ORD0125,Perfume,Beauty & Health,31149.0,0,1,31149.0,2024-11-18,CUST6160,Amritsar
ORD0126,Mixer Grinder,Home & Kitchen,22905.85,25,4,68717.55,2024-06-17,CUST4089,Gangtok
ORD0127,Cookware Set,Home & Kitchen,18171.43,15,1,15445.72,2024-12-06,CUST7805,Amravati
ORD0128,Face Cream,Beauty & Health,30652.44,0,1,30652.44,2024-08-19,CUST4677,Madurai
ORD0129,Football,Sports & Fitness,47127.2,30,3,98967.12,2024-03-29,CUST8271,Avadi
ORD0130,Jeans,Fashion,39599.37,10,5,178197.17,2025-02-08,CUST4228,Pondicherry
ORD0131,Shampoo,Beauty & Health,31914.0,0,3,95742.0,2024-09-18,CUST1352,Jalgaon
ORD0132,Laptop,Electronics,32522.69,10,1,29270.42,2024-07-07,CUST2099,Panchkula
ORD0133,Table Lamp,Home & Kitchen,3068.68,30,2,4296.15,2024-08-16,CUST7763,Aizawl
ORD0134,Cookware Set,Home & Kitchen,12170.88,20,4,38946.82,2024-12-18,CUST2054,Thoothukudi
ORD0135,Jacket,Fashion,40042.62,30,5,140149.17,2024-03-12,CUST1313,Guntur
ORD0136,Jeans,Fashion,46917.2,0,1,46917.2,2024-10-17,CUST6687,Bhimavaram
ORD0137,Shampoo,Beauty & Health,20757.99,15,2,35288.58,2024-10-07,CUST5790,Hospet
ORD0138,Table Lamp,Home & Kitchen,38581.13,5,3,109956.22,2024-06-01,CUST3224,Yamunanagar
ORD0139,Lipstick,Beauty & Health,39519.66,15,1,33591.71,2024-10-29,CUST9503,Motihari
ORD0140,Sunglasses,Fashion,4920.05,30,3,10332.1,2025-01-26,CUST7961,Tirunelveli
ORD0141,Tablet,Electronics,32903.99,30,2,46065.59,2024-05-29,CUST2204,Maheshtala
ORD0142,Smartphone,Electronics,9509.4,20,1,7607.52,2024-10-05,CUST8320,Bhusawal
ORD0143,Sunglasses,Fashion,20699.85,30,1,14489.89,2024-06-29,CUST6661,Bidar
ORD0144,Jeans,Fashion,12062.82,5,4,45838.72,2024-04-27,CUST8241,Jodhpur
ORD0145,Cushion Cover,Home & Kitchen,13779.97,20,3,33071.93,2024-06-16,CUST9787,Malda
ORD0146,Smartwatch,Electronics,4305.53,5,1,4090.25,2025-02-02,CUST5589,Sikar
ORD0147,Bedsheet,Home & Kitchen,30323.93,0,4,121295.72,2024-05-14,CUST9479,Ahmednagar
ORD0148,Lipstick,Beauty & Health,27244.54,30,2,38142.36,2025-02-13,CUST1210,Raebareli
ORD0149,Jeans,Fashion,29566.01,15,1,25131.11,2024-08-07,CUST2326,Thiruvananthapuram
ORD0150,Shoes,Fashion,36479.26,5,3,103965.89,2024-06-09,CUST5885,Jamshedpur
ORD0151,Shoes,Fashion,26184.7,30,1,18329.29,2024-07-23,CUST1799,Chapra
ORD0152,T-shirt,Fashion,8242.42,5,2,15660.6,2024-08-19,CUST8156,Surendranagar Dudhrej
ORD0153,T-shirt,Fashion,35031.68,25,2,52547.52,2024-07-11,CUST7749,Patiala
ORD0154,Cookware Set,Home & Kitchen,13440.95,25,4,40322.85,2024-12-08,CUST9849,Gulbarga
ORD0155,Jeans,Fashion,13168.74,5,1,12510.3,2024-06-05,CUST6675,Nanded
ORD0156,Sunglasses,Fashion,3061.68,20,1,2449.34,2024-08-29,CUST2873,Kakinada
ORD0157,Bedsheet,Home & Kitchen,48155.94,10,5,216701.73,2025-01-14,CUST7658,Sambalpur
ORD0158,Hair Oil,Beauty & Health,39697.54,5,2,75425.33,2025-02-22,CUST3962,Durg
ORD0159,Face Cream,Beauty & Health,9030.46,0,3,27091.38,2024-10-27,CUST7591,Sambalpur
ORD0160,Laptop,Electronics,30316.04,10,5,136422.18,2024-05-07,CUST6231,Nadiad
ORD0161,T-shirt,Fashion,26728.43,0,1,26728.43,2024-10-14,CUST6513,Arrah
ORD0162,Mixer Grinder,Home & Kitchen,33959.49,5,4,129046.06,2025-01-15,CUST5622,Tezpur
ORD0163,Cushion Cover,Home & Kitchen,45694.19,10,1,41124.77,2024-07-21,CUST6092,Orai
ORD0164,Hair Oil,Beauty & Health,16062.72,0,4,64250.88,2024-09-29,CUST9480,Panvel
ORD0165,Headphones,Electronics,31123.64,10,3,84033.83,2024-09-05,CUST1850,Sonipat
ORD0166,Smartphone,Electronics,10690.63,0,3,32071.89,2025-01-19,CUST9573,Amroha
ORD0167,Sunglasses,Fashion,40783.74,0,2,81567.48,2024-09-26,CUST6570,Kurnool
ORD0168,Cricket Bat,Sports & Fitness,1797.44,20,1,1437.95,2024-09-22,CUST2953,Nandyal
ORD0169,Shampoo,Beauty & Health,11234.53,0,4,44938.12,2024-06-18,CUST5928,Jamnagar
ORD0170,Perfume,Beauty & Health,18890.42,25,5,70839.07,2024-10-09,CUST5189,Bokaro
ORD0171,Hair Oil,Beauty & Health,46839.11,15,2,79626.49,2024-11-10,CUST4620,Karawal Nagar
ORD0172,Headphones,Electronics,44235.71,0,4,176942.84,2024-10-16,CUST8364,Kavali
ORD0173,Smartwatch,Electronics,12081.93,30,2,16914.7,2024-06-25,CUST1685,Bulandshahr
ORD0174,Jacket,Fashion,18693.65,10,3,50472.86,2024-09-22,CUST3476,Udupi
ORD0175,Treadmill,Sports & Fitness,46790.99,10,5,210559.45,2024-03-12,CUST4454,Phusro
ORD0176,Jeans,Fashion,13746.62,5,4,52237.16,2024-06-03,CUST3923,Nadiad
ORD0177,Mixer Grinder,Home & Kitchen,3029.72,30,3,6362.41,2025-03-01,CUST8465,Khandwa
ORD0178,Jeans,Fashion,42491.51,15,3,108353.35,2024-08-06,CUST9957,Bhagalpur
ORD0179,Dumbbells,Sports & Fitness,40763.85,10,4,146749.86,2024-09-17,CUST3183,Morena
ORD0180,Sunglasses,Fashion,36655.75,25,4,109967.25,2024-05-26,CUST2511,Belgaum
ORD0181,Smartwatch,Electronics,29681.39,5,4,112789.28,2024-11-15,CUST5198,Guntakal
ORD0182,Treadmill,Sports & Fitness,29701.91,0,1,29701.91,2024-10-01,CUST2249,Muzaffarnagar
ORD0183,Yoga Mat,Sports & Fitness,26856.11,15,2,45655.39,2025-01-07,CUST9011,Panipat
ORD0184,Hair Oil,Beauty & Health,20337.19,20,5,81348.76,2024-10-09,CUST3428,Durgapur
ORD0185,Headphones,Electronics,23608.76,0,1,23608.76,2024-07-27,CUST1910,Gwalior
ORD0186,Tablet,Electronics,11921.41,25,3,26823.17,2024-11-29,CUST1302,Ahmedabad
ORD0187,T-shirt,Fashion,9080.82,10,1,8172.74,2024-10-01,CUST6454,Amaravati
ORD0188,Face Cream,Beauty & Health,44511.13,30,2,62315.58,2024-09-11,CUST9150,Shivpuri
ORD0189,Shampoo,Beauty & Health,38423.91,5,4,146010.86,2024-06-13,CUST9085,Anantapur
ORD0190,Cushion Cover,Home & Kitchen,14456.77,10,1,13011.09,2025-01-19,CUST1612,Karaikudi
ORD0191,Sunglasses,Fashion,18350.84,20,2,29361.34,2024-07-17,CUST3668,Junagadh
ORD0192,Treadmill,Sports & Fitness,20994.88,15,1,17845.65,2024-07-05,CUST3206,Cuttack
ORD0193,Treadmill,Sports & Fitness,30771.1,0,1,30771.1,2025-02-24,CUST8889,Bidar
ORD0194,Dumbbells,Sports & Fitness,575.02,0,1,575.02,2024-06-02,CUST3420,Bathinda
ORD0195,Headphones,Electronics,47389.86,15,3,120844.14,2024-10-05,CUST7058,Nadiad
ORD0196,Face Cream,Beauty & Health,8304.07,25,3,18684.16,2025-02-19,CUST4948,Pune
ORD0197,Dumbbells,Sports & Fitness,23659.45,0,5,118297.25,2024-09-23,CUST6296,Karimnagar
ORD0198,Sunglasses,Fashion,720.35,5,5,3421.66,2024-04-15,CUST3267,Udupi
ORD0199,Hair Oil,Beauty & Health,30894.17,15,4,105040.18,2024-04-23,CUST2573,Hospet
ORD0200,Jeans,Fashion,46734.75,25,2,70102.12,2024-04-04,CUST1129,Bokaro
ORD0201,Tablet,Electronics,38500.44,10,1,34650.4,2024-06-25,CUST5278,South Dumdum
ORD0202,Laptop,Electronics,25722.78,15,4,87457.45,2024-04-27,CUST4797,Dindigul
ORD0203,Laptop,Electronics,35847.01,30,2,50185.81,2025-02-28,CUST5868,Deoghar
ORD0204,Cushion Cover,Home & Kitchen,40359.71,30,2,56503.59,2024-11-23,CUST2487,Moradabad
ORD0205,Bedsheet,Home & Kitchen,7184.3,15,1,6106.65,2025-02-23,CUST8842,Bikaner
ORD0206,Jeans,Fashion,43561.38,5,4,165533.24,2024-10-23,CUST9426,Kumbakonam
ORD0207,Treadmill,Sports & Fitness,17707.84,10,4,63748.22,2024-08-15,CUST6194,Patna
ORD0208,Smartphone,Electronics,31368.41,0,1,31368.41,2024-12-01,CUST6687,Ajmer
ORD0209,Football,Sports & Fitness,12512.45,25,2,18768.68,2024-04-02,CUST2721,Bathinda
ORD0210,Shoes,Fashion,4071.94,20,1,3257.55,2024-04-13,CUST8543,Kalyan-Dombivli
ORD0211,Perfume,Beauty & Health,15023.8,0,3,45071.4,2024-08-04,CUST1362,Coimbatore
ORD0212,Sunglasses,Fashion,30640.59,25,2,45960.89,2025-01-26,CUST7049,Nizamabad
ORD0213,Lipstick,Beauty & Health,6984.55,10,1,6286.1,2024-06-15,CUST2957,Madurai
ORD0214,Tablet,Electronics,29791.92,10,4,107250.91,2024-10-14,CUST2451,Nanded
ORD0215,Cushion Cover,Home & Kitchen,10902.46,25,4,32707.38,2024-08-31,CUST7471,Barasat
ORD0216,Tablet,Electronics,18077.96,0,4,72311.84,2024-06-10,CUST8481,Guwahati
ORD0217,Jeans,Fashion,26419.97,20,1,21135.98,2024-09-07,CUST3123,Bathinda
ORD0218,Jacket,Fashion,10674.3,20,2,17078.88,2024-12-18,CUST4525,Suryapet
ORD0219,T-shirt,Fashion,47610.35,10,1,42849.32,2024-11-12,CUST8535,Davanagere
ORD0220,Perfume,Beauty & Health,40950.43,25,4,122851.29,2024-07-24,CUST8402,Mango
ORD0221,Yoga Mat,Sports & Fitness,23066.68,25,2,34600.02,2024-09-04,CUST5500,Madhyamgram
ORD0222,Jacket,Fashion,31480.91,30,2,44073.27,2024-04-16,CUST9711,Singrauli
ORD0223,Treadmill,Sports & Fitness,42685.05,25,5,160068.94,2024-06-26,CUST7568,Dhanbad
ORD0224,Smartwatch,Electronics,38663.69,25,2,57995.54,2025-02-24,CUST3531,Tenali
ORD0225,Cushion Cover,Home & Kitchen,30645.41,0,3,91936.23,2024-09-08,CUST1715,Sikar
ORD0226,Cookware Set,Home & Kitchen,42102.6,5,4,159989.88,2024-08-31,CUST2739,Sonipat
ORD0227,Perfume,Beauty & Health,14130.49,0,3,42391.47,2025-02-04,CUST6324,Darbhanga
ORD0228,Football,Sports & Fitness,17492.36,10,1,15743.12,2024-09-26,CUST8632,Madanapalle
ORD0229,Sunglasses,Fashion,28165.99,25,1,21124.49,2024-10-20,CUST7969,Anand
ORD0230,Table Lamp,Home & Kitchen,27387.24,15,1,23279.15,2025-01-31,CUST9142,Rourkela
ORD0231,Mixer Grinder,Home & Kitchen,40004.03,10,3,108010.88,2024-11-01,CUST9613,Mehsana
ORD0232,Sunglasses,Fashion,49120.75,15,1,41752.64,2024-09-02,CUST8471,Ahmednagar
ORD0233,Table Lamp,Home & Kitchen,2898.76,20,3,6957.02,2025-03-05,CUST2935,Erode
ORD0234,Headphones,Electronics,4371.38,15,4,14862.69,2024-06-26,CUST8725,Chinsurah
ORD0235,Table Lamp,Home & Kitchen,22194.21,15,4,75460.31,2025-01-03,CUST9291,Dehradun
ORD0236,Shampoo,Beauty & Health,667.52,0,5,3337.6,2024-05-17,CUST4039,Loni
ORD0237,Laptop,Electronics,30251.64,10,3,81679.43,2024-04-03,CUST3530,Madurai
ORD0238,Tablet,Electronics,1257.66,0,3,3772.98,2024-05-02,CUST7454,Rajahmundry
ORD0239,Face Cream,Beauty & Health,40407.15,25,4,121221.45,2024-03-28,CUST7415,Faridabad
ORD0240,Cricket Bat,Sports & Fitness,37376.04,30,1,26163.23,2024-12-10,CUST5369,Ambarnath
ORD0241,Face Cream,Beauty & Health,18214.02,0,2,36428.04,2024-05-07,CUST8880,Kamarhati
ORD0242,Shoes,Fashion,14480.75,0,5,72403.75,2024-09-18,CUST8933,Tiruppur
ORD0243,Jacket,Fashion,37244.89,10,3,100561.2,2024-03-14,CUST9784,Kakinada
ORD0244,Headphones,Electronics,30364.46,25,2,45546.69,2024-08-23,CUST6249,Sonipat
ORD0245,Dumbbells,Sports & Fitness,3857.32,0,5,19286.6,2024-12-01,CUST4867,Sambhal
ORD0246,Treadmill,Sports & Fitness,41930.08,0,5,209650.4,2025-02-20,CUST9395,Jammu
ORD0247,T-shirt,Fashion,6978.99,0,2,13957.98,2024-12-30,CUST9640,Darbhanga
ORD0248,Laptop,Electronics,49209.83,15,4,167313.42,2025-02-03,CUST8162,Jhansi
ORD0249,Headphones,Electronics,32582.36,30,2,45615.3,2024-09-10,CUST3430,Proddatur
ORD0250,Cricket Bat,Sports & Fitness,3093.82,0,3,9281.46,2025-01-11,CUST1233,Kirari Suleman Nagar
